"Name";"RA.hour";"RA.min";"RA.sec";"DECL.deg";"DECL.min";"DECL.sec";"Period";"Range";"N(obs)";"Dec.2020";"Jan.2021";"Feb.2021";"Mar.2021";"Apr.2021";"May.2021";"Jun.2021";"Jul.2021";"Aug.2021";"Sep.2021";"Oct.2021";"Nov.2021";"Dec.2021"
"X MON";"6";"57";"11.81";"-9";"3";"52";"153.7";"<7.6-9.0>";215;"MIN(21)";"rising";"MAX(16)";"MAX(24)";"fading";"MIN(23)";"rising";"MAX(20)";"MAX(24)";"fading";"MIN(24)";"rising";"MAX(21)"
"R LYN";"7";"1";"18";"55";"19";"49.8";"374.2";"<7.9-13.2>";599;"fading";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"rising";"rising";"MAX(19)";"fading";"fading";"fading"
"R VOL";"7";"5";"36.19";"-73";"0";"51.9";"450.4";"<9.5-11.9>";10;"rising";"rising";"rising";"rising";"rising";"MAX(18)";"fading";"fading";"fading";"fading";"fading";"fading";"fading"
"V CMI";"7";"6";"58.84";"8";"52";"36.8";"365.2";"<9.2-16.2>";170;"rising";"MAX(30)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(26)";"rising";"rising";"rising"
"R GEM";"7";"7";"21.27";"22";"42";"12.7";"369.5";"<7.4-13.8>";437;"rising";"rising";"rising";"MAX(15)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(4)";"rising"
"R CMI";"7";"8";"42.6";"10";"1";"26.5";"338.5";"<7.5-10.5>";241;"rising";"MAX(8)";"fading";"fading";"fading";"fading";"fading";"MIN(23)";"rising";"rising";"rising";"rising";"MAX(12)"
"RR MON";"7";"17";"31.49";"1";"5";"41.9";"398.1";"<9.5-16.1>";127;"rising";"MAX(23)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(24)";"rising";"rising";"rising"
"V GEM";"7";"23";"9.35";"13";"6";"4.7";"277.1";"<8.5-14.3>";95;"rising";"MAX(15)";"fading";"fading";"fading";"MIN(27)";"rising";"rising";"rising";"rising";"MAX(19)";"fading";"fading"
"S VOL";"7";"29";"45.58";"-73";"22";"44";"398.8";"<9.5-14.0>";5;"rising";"rising";"rising";"rising";"rising";"MAX(7)";"fading";"fading";"fading";"fading";"MIN(2)";"rising";"rising"
"Z PUP";"7";"32";"38.05";"-20";"39";"29.3";"511.6";"<8.7-14.6>";80;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(12)";"rising";"rising";"rising";"rising";"rising";"MAX(22)"
"S CMI";"7";"32";"43.07";"8";"19";"5.1";"331.9";"<7.7-12.2>";294;"MAX(26)";"fading";"fading";"fading";"fading";"MIN(27)";"rising";"rising";"rising";"rising";"rising";"MAX(23)";"fading"
"T CMI";"7";"34";"0.46";"11";"44";"7.1";"325.7";"<10.2-14.9>";92;"rising";"rising";"rising";"rising";"MAX(27)";"fading";"fading";"fading";"fading";"MIN(28)";"rising";"rising";"rising"
"U CMI";"7";"41";"20.03";"8";"22";"49.1";"412.6";"<9.4-12.6>";69;"rising";"MAX(8)";"fading";"fading";"fading";"MIN(26)";"rising";"rising";"rising";"rising";"MAX(12)";"fading";"MIN(23)"
"S GEM";"7";"43";"2.56";"23";"26";"58.2";"293.1";"<8.7-13.4>";69;"MIN(23)";"MAX(2)";"MIN(28)";"rising";"rising";"rising";"MAX(17)";"fading";"fading";"fading";"MAX(22)";"fading";"MIN(18)"
"W PUP";"7";"45";"57.36";"-42";"11";"44";"119.8";"<8.1-12.5>";44;"rising";"MAX(29)";"fading";"MIN(27)";"rising";"MAX(29)";"fading";"MIN(25)";"rising";"MAX(26)";"fading";"MIN(21)";"rising"
"T GEM";"7";"49";"18.13";"23";"44";"3.8";"287.8";"<8.4-13.9>";68;"fading";"MIN(25)";"rising";"rising";"rising";"rising";"MAX(2)";"fading";"fading";"fading";"fading";"MIN(9)";"rising"
"U PUP";"8";"0";"50.49";"-12";"50";"29.1";"315.1";"<8.5-13.6>";57;"fading";"fading";"MIN(25)";"rising";"rising";"rising";"MAX(26)";"fading";"fading";"fading";"fading";"fading";"fading"
"R CNC";"8";"16";"33.82";"11";"43";"34.5";"363.0";"<7.9-11.4>";187;"fading";"fading";"MIN(1)";"rising";"rising";"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading";"fading"
"V CNC";"8";"21";"42.85";"17";"17";"6.7";"271.6";"<8.7-13.3>";92;"rising";"rising";"MAX(22)";"fading";"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"MAX(21)";"fading"
"R CHA";"8";"21";"46.47";"-76";"21";"18.2";"335.9";"<9.4-15.4>";5;"fading";"MIN(24)";"rising";"rising";"rising";"rising";"MAX(15)";"fading";"fading";"fading";"fading";"fading";"MIN(26)"
"U CNC";"8";"35";"46.28";"18";"53";"44.6";"309.6";"<10.1-16.9>";140;"rising";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"fading";"fading";"MIN(27)";"rising";"rising";"rising"
"X UMA";"8";"40";"49.49";"50";"8";"11.7";"250.2";"<10.3-15.4>";148;"fading";"fading";"fading";"MIN(21)";"rising";"rising";"rising";"MAX(8)";"fading";"fading";"fading";"MIN(26)";"rising"
"S HYA";"8";"53";"33.95";"3";"4";"6.4";"259.5";"<8.6-13.3>";93;"fading";"fading";"fading";"MIN(18)";"rising";"rising";"rising";"MAX(30)";"fading";"fading";"fading";"fading";"MIN(3)"
"T HYA";"8";"55";"39.83";"-9";"8";"29.2";"288.1";"<8.3-12.5>";117;"rising";"MAX(21)";"fading";"fading";"fading";"fading";"MIN(8)";"rising";"rising";"rising";"rising";"MAX(5)";"fading"
"S PYX";"9";"5";"4.6";"-25";"5";"19.7";"206.2";"<9.2-14.0>";35;"rising";"MAX(30)";"fading";"fading";"fading";"MIN(4)";"rising";"rising";"MAX(24)";"fading";"fading";"MIN(26)";"rising"
"W CNC";"9";"9";"52.61";"25";"14";"53.8";"387.4";"<9.2-14.4>";47;"fading";"fading";"fading";"fading";"fading";"MIN(29)";"rising";"rising";"rising";"rising";"rising";"MAX(11)";"fading"
"RW CAR";"9";"19";"36.09";"-68";"45";"28.1";"319.2";"<10.5-15.7>";5;"MIN(31)";"rising";"rising";"rising";"rising";"MAX(16)";"fading";"fading";"fading";"fading";"fading";"MIN(15)";"rising"
"Y VEL";"9";"29";"1.42";"-52";"10";"54";"448.1";"<10.2-14.8>";7;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(8)";"rising";"rising";"rising";"rising";"MAX(24)";"fading"
"R CAR";"9";"32";"14.59";"-62";"47";"20";"306.8";"<4.5-9.1>";215;"MAX(7)";"fading";"fading";"fading";"fading";"MIN(29)";"rising";"rising";"rising";"rising";"MAX(10)";"fading";"fading"
"X HYA";"9";"35";"30.25";"-14";"41";"28.6";"301.1";"<8.8-12.4>";64;"fading";"fading";"MIN(17)";"rising";"rising";"rising";"rising";"MAX(6)";"fading";"fading";"fading";"fading";"MIN(16)"
"Y DRA";"9";"42";"22.72";"77";"51";"7.4";"325.2";"<9.1-14.7>";115;"MAX(2)";"fading";"fading";"fading";"fading";"fading";"MIN(21)";"rising";"rising";"rising";"MAX(23)";"fading";"fading"
"RR HYA";"9";"44";"58.96";"-24";"1";"15.7";"349.2";"<9.0-13.1>";44;"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading";"fading";"fading";"MIN(9)";"rising";"rising";"rising"
"R LMI";"9";"45";"34.27";"34";"30";"42.8";"371.0";"<7.9-12.4>";309;"fading";"MIN(13)";"rising";"rising";"rising";"rising";"MAX(6)";"fading";"fading";"fading";"fading";"fading";"fading"
"R LEO";"9";"47";"33.49";"11";"25";"43.7";"307.7";"<5.2-9.6>";1428;"fading";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"rising";"MAX(20)";"fading";"fading";"fading";"fading"
"Z VEL";"9";"52";"54.28";"-54";"10";"47.8";"414.2";"<10.0-14.3>";11;"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising"
"S LMI";"9";"53";"43.16";"34";"55";"35.3";"236.2";"<8.7-13.5>";88;"MIN(21)";"rising";"rising";"rising";"MAX(3)";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"MAX(25)";"fading"
"U LMI";"9";"54";"38.63";"36";"5";"23.8";"277.9";"<10.6-11.2>";204;"rising";"MAX(12)";"fading";"MIN(28)";"rising";"rising";"MAX(4)";"fading";"MIN(3)";"rising";"MAX(17)";"fading";"MIN(31)"
"RV CAR";"9";"58";"20.86";"-63";"53";"51.6";"364.1";"<12.2-21.1>";0;"MAX(16)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(10)";"rising";"rising";"rising";"MAX(15)"
"V LEO";"10";"0";"1.91";"21";"15";"44.3";"271.6";"<9.5-14.6>";148;"fading";"fading";"MIN(20)";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"fading";"fading";"MIN(19)";"rising"
"S CAR";"10";"9";"21.89";"-61";"32";"56.3";"149.5";"<5.7-8.5>";311;"MAX(5)";"fading";"MIN(12)";"rising";"rising";"MAX(3)";"fading";"MIN(11)";"rising";"MAX(30)";"fading";"fading";"MIN(8)"
"Z CAR";"10";"13";"54.61";"-58";"51";"8.4";"382.5";"<11.6-15.4>";5;"rising";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(10)";"fading";"fading";"fading";"fading";"MIN(11)"
"W VEL";"10";"15";"14.83";"-54";"28";"41.9";"392.2";"<8.3-13.6>";5;"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(4)";"rising";"rising";"rising";"rising";"MAX(11)"
"S SEX";"10";"34";"56.04";"0";"20";"33.5";"263.0";"<9.4-13.6>";81;"rising";"rising";"rising";"rising";"MAX(14)";"fading";"fading";"fading";"MIN(12)";"rising";"rising";"rising";"rising"
"RZ CAR";"10";"35";"37.25";"-70";"43";"0.1";"269.6";"<9.5-16.9>";7;"fading";"fading";"fading";"fading";"fading";"MIN(12)";"rising";"rising";"MAX(21)";"fading";"fading";"fading";"fading"
"R UMA";"10";"44";"38.46";"68";"46";"32.7";"301.0";"<7.4-13.2>";532;"fading";"fading";"fading";"fading";"MIN(20)";"rising";"rising";"rising";"MAX(16)";"fading";"fading";"fading";"fading"
"RS HYA";"10";"51";"19.05";"-28";"37";"41.3";"339.2";"<10.0-14.1>";14;"rising";"rising";"rising";"rising";"MAX(12)";"fading";"fading";"fading";"fading";"MIN(26)";"rising";"rising";"rising"
"W LEO";"10";"53";"37.44";"13";"42";"54.2";"389.0";"<9.9-15.5>";53;"fading";"fading";"MIN(21)";"rising";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(17)";"fading";"fading"
"S LEO";"11";"10";"50.77";"5";"27";"34.8";"188.9";"<10.5-13.9>";196;"MIN(23)";"rising";"rising";"MAX(22)";"fading";"fading";"MIN(30)";"rising";"rising";"MAX(27)";"fading";"fading";"fading"
"X CEN";"11";"49";"11.79";"-41";"45";"27.2";"317.0";"<8.4-14.0>";9;"fading";"fading";"fading";"fading";"fading";"MIN(20)";"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading"
"W CEN";"11";"55";"1.33";"-59";"15";"13.4";"199.6";"<10.0-14.9>";6;"MIN(29)";"rising";"rising";"MAX(13)";"fading";"fading";"fading";"MIN(16)";"rising";"MAX(29)";"fading";"fading";"fading"
"R COM";"12";"4";"15.19";"18";"46";"56.7";"363.6";"<9.1-14.9>";69;"fading";"fading";"fading";"fading";"MIN(3)";"rising";"rising";"rising";"MAX(17)";"fading";"fading";"fading";"fading"
"SU VIR";"12";"5";"14.79";"12";"21";"38";"206.8";"<9.4-14.2>";148;"MAX(3)";"fading";"fading";"MIN(20)";"rising";"rising";"MAX(27)";"fading";"fading";"fading";"MIN(13)";"rising";"rising"
"T VIR";"12";"14";"36.67";"-6";"2";"8.7";"338.6";"<10.2-15.1>";71;"rising";"rising";"MAX(14)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(22)";"rising";"rising";"rising"
"R CRV";"12";"19";"37.86";"-19";"15";"21.8";"316.6";"<8.6-13.7>";113;"rising";"rising";"rising";"rising";"MAX(12)";"fading";"fading";"fading";"fading";"fading";"MIN(3)";"rising";"rising"
"SS VIR";"12";"25";"14.4";"0";"46";"10.9";"349.6";"<7.1-8.7>";460;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"rising";"rising";"MAX(12)";"fading"
"T CVN";"12";"30";"12.4";"31";"30";"11.9";"292.2";"<9.7-11.0>";154;"fading";"fading";"fading";"MIN(8)";"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading";"fading";"MIN(25)"
"U CEN";"12";"33";"30.75";"-54";"39";"33.8";"220.5";"<8.7-14.1>";20;"MIN(6)";"rising";"rising";"MAX(24)";"fading";"fading";"fading";"MIN(15)";"rising";"rising";"MAX(31)";"fading";"fading"
"Y VIR";"12";"33";"52.99";"-4";"25";"19.5";"217.5";"<10.0-14.3>";76;"MIN(7)";"rising";"rising";"rising";"MAX(1)";"fading";"fading";"MIN(12)";"rising";"rising";"rising";"MAX(5)";"fading"
"T UMA";"12";"36";"23.47";"59";"29";"12.9";"255.6";"<7.1-12.5>";731;"MAX(18)";"fading";"fading";"fading";"fading";"MIN(9)";"rising";"rising";"MAX(31)";"fading";"fading";"fading";"fading"
"R VIR";"12";"38";"29.94";"6";"59";"18.9";"145.1";"<6.8-11.5>";450;"MIN(11)";"rising";"rising";"MAX(2)";"fading";"MIN(5)";"rising";"MAX(25)";"fading";"MIN(28)";"rising";"rising";"MAX(17)"
"RS UMA";"12";"38";"57.55";"58";"29";"0.2";"258.4";"<9.2-14.8>";355;"rising";"rising";"MAX(9)";"fading";"fading";"fading";"fading";"MIN(10)";"rising";"rising";"MAX(25)";"fading";"fading"
"S UMA";"12";"43";"56.66";"61";"5";"35.4";"226.8";"<8.0-11.8>";939;"fading";"MIN(31)";"rising";"rising";"rising";"MAX(12)";"fading";"fading";"fading";"MIN(15)";"rising";"rising";"MAX(25)"
"RU VIR";"12";"47";"18.4";"4";"8";"41.3";"433.2";"<9.4-11.8>";146;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"rising";"rising";"rising";"rising"
"U VIR";"12";"51";"5.74";"5";"33";"11.5";"208.0";"<8.9-14.4>";85;"MAX(31)";"fading";"fading";"fading";"MIN(12)";"rising";"rising";"MAX(27)";"fading";"fading";"fading";"MIN(6)";"rising"
"RV VIR";"13";"7";"55.39";"-13";"9";"58.8";"269.8";"<12.6-18.1>";81;"fading";"fading";"fading";"fading";"MIN(6)";"rising";"rising";"MAX(28)";"fading";"fading";"fading";"fading";"fading"
"V CVN";"13";"19";"27.77";"45";"31";"37.7";"188.4";"<7.2-7.6>";851;"rising";"rising";"MAX(18)";"fading";"fading";"MIN(8)";"rising";"rising";"MAX(25)";"fading";"fading";"MIN(12)";"rising"
"U OCT";"13";"24";"32.62";"-84";"13";"30.9";"305.9";"<8.9-13.6>";10;"fading";"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"rising";"MAX(9)";"fading";"fading";"fading"
"V VIR";"13";"27";"48.13";"-3";"10";"22.8";"251.1";"<9.3-15.0>";92;"fading";"fading";"fading";"MIN(4)";"rising";"rising";"MAX(28)";"fading";"fading";"fading";"fading";"MIN(10)";"rising"
"R HYA";"13";"29";"42.77";"-23";"16";"52.7";"358.2";"<5.5-7.7>";199;"fading";"fading";"fading";"MIN(17)";"rising";"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading";"fading"
"S VIR";"13";"33";"0.11";"-7";"11";"40.9";"375.0";"<7.7-12.8>";198;"fading";"MIN(19)";"rising";"rising";"rising";"rising";"MAX(5)";"fading";"fading";"fading";"fading";"fading";"fading"
"RV CEN";"13";"37";"36.04";"-56";"28";"35";"438.4";"<7.5-9.2>";63;"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading";"fading";"fading";"MIN(9)";"rising";"rising";"rising"
"T CEN";"13";"41";"45.55";"-33";"35";"50.6";"96.0";"<6.5-7.9>";225;"MAX(9)";"MIN(11)";"rising";"MAX(15)";"MIN(17)";"rising";"MAX(19)";"MIN(22)";"rising";"MAX(23)";"MIN(26)";"rising";"MAX(28)"
"RT CEN";"13";"48";"20.95";"-36";"51";"45.2";"254.3";"<9.7-11.3>";34;"MAX(31)";"fading";"fading";"fading";"MIN(7)";"rising";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"MIN(17)"
"R CVN";"13";"48";"57.05";"39";"32";"33.2";"326.6";"<7.3-11.5>";366;"MIN(7)";"rising";"rising";"rising";"rising";"MAX(24)";"fading";"fading";"fading";"fading";"MIN(29)";"rising";"rising"
"RX CEN";"13";"51";"25.44";"-36";"56";"37.7";"326.6";"<10.1-14.8>";23;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"rising";"MAX(11)";"fading";"fading"
"T APS";"13";"55";"51.18";"-77";"48";"8.3";"263.5";"<8.4-13.6>";6;"fading";"fading";"fading";"MIN(27)";"rising";"rising";"rising";"MAX(27)";"fading";"fading";"fading";"fading";"MIN(15)"
"RR VIR";"14";"4";"53.43";"-9";"11";"41.3";"214.7";"<11.2-16.2>";34;"MIN(13)";"rising";"rising";"MAX(28)";"fading";"fading";"fading";"MIN(16)";"rising";"rising";"MAX(29)";"fading";"fading"
"Z BOO";"14";"6";"29.54";"13";"29";"5.7";"284.0";"<9.2-14.4>";36;"fading";"fading";"MIN(16)";"rising";"rising";"rising";"MAX(4)";"fading";"fading";"fading";"fading";"MIN(27)";"rising"
"Z VIR";"14";"10";"21.4";"-13";"18";"14.6";"303.8";"<10.0-15.5>";48;"fading";"fading";"MIN(14)";"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading";"fading";"fading";"MIN(15)"
"RU HYA";"14";"11";"34.39";"-28";"53";"7.4";"331.5";"<7.7-13.7>";40;"fading";"fading";"MIN(17)";"rising";"rising";"rising";"MAX(30)";"fading";"fading";"fading";"fading";"fading";"fading"
"U UMI";"14";"17";"19.9";"66";"47";"39.1";"328.3";"<8.2-11.5>";403;"MIN(7)";"rising";"rising";"rising";"rising";"MAX(7)";"fading";"fading";"fading";"fading";"MIN(31)";"rising";"rising"
"R CAM";"14";"17";"51.03";"83";"49";"53.7";"269.2";"<9.0-12.3>";320;"MIN(20)";"rising";"rising";"rising";"MAX(18)";"fading";"fading";"fading";"fading";"MIN(15)";"rising";"rising";"rising"
"S BOO";"14";"22";"52.91";"53";"48";"37.2";"270.6";"<8.8-13.3>";224;"rising";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"fading";"MIN(13)";"rising";"rising";"rising";"rising"
"RS VIR";"14";"27";"16.39";"4";"40";"41";"355.5";"<9.3-14.5>";58;"MAX(6)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(11)";"rising";"rising";"rising";"MAX(27)";"fading"
"V BOO";"14";"29";"45.27";"38";"51";"40.6";"260.3";"<7.8-9.4>";710;"rising";"rising";"rising";"rising";"rising";"MAX(9)";"fading";"fading";"MIN(11)";"rising";"rising";"rising";"rising"
"R BOO";"14";"37";"11.57";"26";"44";"11.6";"224.3";"<7.2-12.2>";408;"MIN(4)";"rising";"rising";"MAX(26)";"fading";"fading";"fading";"MIN(16)";"rising";"rising";"rising";"MAX(6)";"fading"
"V LIB";"14";"40";"22.18";"-17";"39";"27.1";"255.6";"<10.3-14.9>";42;"MAX(9)";"fading";"fading";"fading";"fading";"MIN(3)";"rising";"rising";"MAX(22)";"fading";"fading";"fading";"fading"
"S LUP";"14";"53";"26.4";"-46";"36";"56.8";"332.9";"<10.1-15.5>";9;"rising";"MAX(8)";"fading";"fading";"fading";"fading";"fading";"MIN(28)";"rising";"rising";"rising";"rising";"MAX(7)"
"U BOO";"14";"54";"19.96";"17";"41";"43.6";"204.2";"<10.3-11.2>";211;"MIN(12)";"rising";"MAX(6)";"fading";"MIN(5)";"MAX(27)";"fading";"MIN(5)";"MAX(29)";"fading";"MIN(26)";"rising";"MAX(17)"
"Y LUP";"14";"59";"36.8";"-54";"57";"56.8";"403.0";"<10.3-15.2>";7;"rising";"rising";"MAX(28)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(27)";"rising";"rising"
"RT LIB";"15";"6";"26.23";"-18";"43";"56.3";"255.7";"<8.6-14.3>";49;"MIN(13)";"rising";"rising";"rising";"MAX(3)";"fading";"fading";"fading";"MIN(26)";"rising";"rising";"rising";"MAX(15)"
"T LIB";"15";"10";"44.35";"-20";"1";"8.6";"236.8";"<11.2-15.4>";34;"fading";"fading";"fading";"fading";"MIN(8)";"rising";"rising";"MAX(14)";"fading";"fading";"fading";"fading";"MIN(1)"
"Y LIB";"15";"11";"41.3";"-6";"0";"41.3";"276.1";"<9.4-15.6>";57;"rising";"MAX(28)";"fading";"fading";"fading";"fading";"fading";"MIN(15)";"rising";"rising";"MAX(31)";"fading";"fading"
"S CRB";"15";"21";"23.95";"31";"22";"2.6";"361.0";"<7.9-13.0>";470;"fading";"fading";"fading";"MIN(29)";"rising";"rising";"rising";"rising";"MAX(9)";"fading";"fading";"fading";"fading"
