"Name";"RA.hour";"RA.min";"RA.sec";"DECL.deg";"DECL.min";"DECL.sec";"Period";"Range";"N(obs)";"Dec.2020";"Jan.2021";"Feb.2021";"Mar.2021";"Apr.2021";"May.2021";"Jun.2021";"Jul.2021";"Aug.2021";"Sep.2021";"Oct.2021";"Nov.2021";"Dec.2021"
"S LIB";"15";"21";"23.98";"-20";"23";"18.3";"190.7";"<8.7-12.2>";67;"MIN(31)";"rising";"rising";"rising";"MAX(29)";"fading";"fading";"MIN(9)";"rising";"rising";"rising";"MAX(6)";"fading"
"S SER";"15";"21";"39.53";"14";"18";"53.1";"369.8";"<9.0-13.5>";127;"fading";"fading";"fading";"MIN(16)";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(20)";"fading";"fading"
"RS LIB";"15";"24";"19.78";"-22";"54";"39.8";"218.3";"<7.9-11.9>";55;"fading";"fading";"fading";"MIN(18)";"rising";"rising";"MAX(20)";"fading";"fading";"fading";"MIN(22)";"rising";"rising"
"S UMI";"15";"29";"34.56";"78";"38";"0.3";"325.1";"<8.6-11.5>";652;"MAX(7)";"fading";"fading";"fading";"fading";"MIN(18)";"rising";"rising";"rising";"rising";"MAX(28)";"fading";"fading"
"RU LIB";"15";"33";"16.5";"-15";"19";"35";"316.0";"<8.4-13.8>";46;"rising";"rising";"MAX(11)";"fading";"fading";"fading";"fading";"MIN(28)";"rising";"rising";"rising";"rising";"MAX(24)"
"X LIB";"15";"36";"12.66";"-21";"9";"3.8";"165.3";"<10.8-14.4>";35;"MAX(17)";"fading";"fading";"MIN(17)";"rising";"MAX(31)";"fading";"fading";"MIN(29)";"rising";"rising";"MAX(12)";"fading"
"W LIB";"15";"37";"47.94";"-16";"9";"57.3";"201.7";"<11.1-14.7>";31;"fading";"fading";"MIN(11)";"rising";"rising";"rising";"MAX(5)";"fading";"MIN(31)";"rising";"rising";"rising";"MAX(24)"
"U LIB";"15";"42";"3.14";"-21";"10";"50.6";"227.5";"<9.5-14.5>";47;"fading";"fading";"MIN(18)";"rising";"rising";"MAX(25)";"fading";"fading";"fading";"fading";"MIN(3)";"rising";"rising"
"T NOR";"15";"44";"3.83";"-54";"59";"12.5";"241.0";"<7.8-13.6>";23;"fading";"fading";"fading";"MIN(31)";"rising";"rising";"rising";"MAX(13)";"fading";"fading";"fading";"MIN(27)";"rising"
"X CRB";"15";"48";"53.52";"36";"14";"52.5";"240.4";"<9.3-13.5>";101;"MIN(20)";"rising";"rising";"rising";"MAX(10)";"fading";"fading";"fading";"MIN(17)";"rising";"rising";"rising";"MAX(7)"
"V CRB";"15";"49";"31.31";"39";"34";"17.9";"359.1";"<8.2-11.2>";240;"fading";"fading";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"rising";"rising";"MAX(5)";"fading";"fading"
"R SER";"15";"50";"41.73";"15";"8";"1.1";"353.9";"<6.3-12.7>";528;"fading";"MIN(1)";"rising";"rising";"rising";"MAX(16)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(21)"
"R LUP";"15";"53";"28.93";"-36";"17";"52.1";"235.3";"<10.4-14.6>";9;"fading";"fading";"MIN(27)";"rising";"rising";"rising";"MAX(16)";"fading";"fading";"fading";"MIN(20)";"rising";"rising"
"R LIB";"15";"53";"36.03";"-16";"14";"11.3";"243.4";"<11.8-16.2>";31;"fading";"fading";"fading";"MIN(2)";"rising";"rising";"MAX(24)";"fading";"fading";"fading";"MIN(31)";"rising";"rising"
"Z CRB";"15";"56";"8.35";"29";"14";"17.9";"250.9";"<9.2-14.6>";130;"MIN(30)";"rising";"rising";"rising";"MAX(14)";"fading";"fading";"fading";"fading";"MIN(7)";"rising";"rising";"MAX(21)"
"RR LIB";"15";"56";"23.7";"-18";"18";"14.9";"278.6";"<9.3-14.5>";27;"MIN(25)";"rising";"rising";"rising";"rising";"MAX(24)";"fading";"fading";"fading";"MIN(30)";"rising";"rising";"rising"
"RZ SCO";"16";"4";"36.13";"-24";"6";"0.6";"158.0";"<9.4-12.7>";44;"rising";"rising";"MAX(5)";"fading";"fading";"MIN(6)";"rising";"MAX(13)";"fading";"fading";"MIN(11)";"rising";"MAX(18)"
"Z SCO";"16";"6";"0.7";"-21";"43";"59.5";"358.9";"<9.7-13.0>";17;"fading";"MIN(31)";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading";"fading"
"R HER";"16";"6";"11.7";"18";"22";"13.2";"321.3";"<9.3-15.2>";138;"fading";"fading";"MIN(26)";"rising";"rising";"rising";"rising";"MAX(5)";"fading";"fading";"fading";"fading";"fading"
"U SER";"16";"7";"17.65";"9";"55";"52.5";"237.9";"<8.2-13.5>";96;"fading";"fading";"fading";"fading";"MIN(4)";"rising";"rising";"MAX(21)";"fading";"fading";"fading";"MIN(28)";"rising"
"X SCO";"16";"8";"31.91";"-21";"31";"50.3";"198.4";"<10.4-13.8>";12;"rising";"MAX(4)";"fading";"fading";"MIN(3)";"rising";"rising";"MAX(21)";"fading";"fading";"MIN(18)";"rising";"rising"
"RU HER";"16";"10";"14.52";"25";"4";"14.4";"482.0";"<8.2-13.0>";513;"MIN(19)";"rising";"rising";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(12)";"fading";"fading";"fading"
"W SCO";"16";"11";"45.78";"-20";"8";"13.4";"221.1";"<12.4-16.0>";12;"rising";"rising";"rising";"MAX(4)";"fading";"fading";"MIN(21)";"rising";"rising";"rising";"MAX(11)";"fading";"fading"
"W CRB";"16";"15";"24.54";"37";"47";"44.1";"236.5";"<8.3-13.6>";205;"rising";"rising";"MAX(4)";"fading";"fading";"fading";"MIN(13)";"rising";"rising";"MAX(28)";"fading";"fading";"fading"
"R SCO";"16";"17";"39.07";"-22";"56";"40.5";"221.8";"<9.8-14.2>";31;"MAX(20)";"fading";"fading";"MIN(26)";"rising";"rising";"rising";"MAX(30)";"fading";"fading";"fading";"MIN(3)";"rising"
"S SCO";"16";"17";"40.2";"-22";"53";"35.8";"178.1";"<11.2-15.5>";52;"rising";"MAX(13)";"fading";"fading";"MIN(12)";"rising";"rising";"MAX(10)";"fading";"fading";"MIN(8)";"rising";"rising"
"W OPH";"16";"21";"24.46";"-7";"42";"0.2";"329.7";"<10.5-14.6>";48;"rising";"rising";"MAX(17)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(8)";"rising";"rising";"rising"
"U HER";"16";"25";"47.47";"18";"53";"32.8";"404.3";"<8.1-12.4>";317;"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(13)";"rising";"rising";"rising";"rising";"MAX(24)"
"V OPH";"16";"26";"43.7";"-12";"25";"35.7";"299.5";"<7.9-10.4>";75;"MIN(30)";"rising";"rising";"rising";"rising";"rising";"MAX(3)";"fading";"fading";"fading";"MIN(26)";"rising";"rising"
"Y SCO";"16";"29";"26.42";"-19";"20";"50.7";"356.7";"<11.7-16.1>";8;"MAX(4)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(2)";"rising";"rising";"rising";"MAX(26)";"fading"
"R UMI";"16";"29";"57.9";"72";"16";"49.1";"315.6";"<9.7-10.2>";189;"rising";"rising";"rising";"rising";"MAX(12)";"fading";"fading";"fading";"MIN(31)";"rising";"rising";"rising";"rising"
"R DRA";"16";"32";"40.22";"66";"45";"17.8";"243.9";"<6.3-11.5>";500;"MIN(31)";"rising";"rising";"rising";"MAX(28)";"fading";"fading";"fading";"fading";"MIN(1)";"rising";"rising";"MAX(28)"
"SS HER";"16";"32";"55.54";"6";"51";"29.6";"107.2";"<9.2-12.8>";203;"MAX(24)";"fading";"MIN(24)";"rising";"MAX(10)";"fading";"MIN(11)";"MAX(26)";"fading";"MIN(26)";"rising";"MAX(10)";"fading"
"T OPH";"16";"33";"43.54";"-16";"7";"54.3";"367.6";"<10.5-15.1>";31;"fading";"fading";"fading";"fading";"MIN(16)";"rising";"rising";"rising";"rising";"MAX(26)";"fading";"fading";"fading"
"S OPH";"16";"34";"15.22";"-17";"9";"39.2";"234.7";"<10.1-14.6>";33;"fading";"MIN(15)";"rising";"rising";"rising";"MAX(1)";"fading";"fading";"fading";"MIN(7)";"rising";"rising";"MAX(21)"
"W HER";"16";"35";"12.31";"37";"20";"43";"280.8";"<8.1-13.1>";240;"MIN(19)";"rising";"rising";"rising";"MAX(30)";"fading";"fading";"fading";"fading";"MIN(26)";"rising";"rising";"rising"
"RR OPH";"16";"49";"2.46";"-19";"27";"52.3";"290.5";"<9.0-14.3>";39;"fading";"fading";"fading";"MIN(3)";"rising";"rising";"rising";"MAX(8)";"fading";"fading";"fading";"fading";"MIN(19)"
"S HER";"16";"51";"53.92";"14";"56";"30.6";"309.6";"<7.5-12.7>";231;"fading";"fading";"fading";"fading";"MIN(12)";"rising";"rising";"rising";"rising";"MAX(1)";"fading";"fading";"fading"
"RS SCO";"16";"55";"37.81";"-45";"6";"10.8";"318.3";"<6.6-11.9>";34;"fading";"MIN(14)";"rising";"rising";"rising";"MAX(24)";"fading";"fading";"fading";"fading";"fading";"MIN(28)";"rising"
"RR SCO";"16";"56";"37.84";"-30";"34";"48.2";"283.1";"<6.6-11.3>";78;"fading";"fading";"fading";"MIN(12)";"rising";"rising";"rising";"rising";"MAX(2)";"fading";"fading";"fading";"MIN(20)"
"SS OPH";"16";"57";"50.98";"-2";"45";"42.4";"180.5";"<9.1-14.4>";41;"MIN(13)";"rising";"MAX(28)";"fading";"fading";"fading";"MIN(11)";"rising";"MAX(28)";"fading";"fading";"fading";"MIN(8)"
"RV HER";"17";"0";"33.24";"31";"13";"24";"207.1";"<10.4-15.3>";91;"fading";"fading";"fading";"MIN(11)";"rising";"rising";"MAX(17)";"fading";"fading";"fading";"MIN(4)";"rising";"rising"
"RT SCO";"17";"3";"32.56";"-36";"55";"13.6";"443.0";"<9.9-16.5>";16;"MIN(3)";"rising";"rising";"rising";"MAX(28)";"fading";"fading";"fading";"fading";"MIN(12)";"MAX(25)";"fading";"fading"
"R OPH";"17";"7";"45.82";"-16";"5";"34.1";"304.9";"<8.3-13.9>";50;"fading";"fading";"fading";"fading";"fading";"MIN(21)";"rising";"rising";"rising";"MAX(29)";"fading";"fading";"fading"
"RT HER";"17";"10";"48.01";"27";"3";"59.1";"300.0";"<10.4-16.0>";88;"fading";"fading";"MIN(10)";"rising";"rising";"rising";"MAX(9)";"fading";"fading";"fading";"fading";"fading";"MIN(7)"
"RW SCO";"17";"14";"51.67";"-33";"25";"54.5";"385.1";"<11.8-16.7>";16;"MIN(24)";"rising";"rising";"rising";"rising";"MAX(14)";"fading";"fading";"fading";"fading";"fading";"fading";"fading"
"Z OPH";"17";"19";"32.11";"1";"30";"54.2";"349.9";"<8.1-12.0>";210;"fading";"fading";"MIN(21)";"rising";"rising";"rising";"rising";"MAX(18)";"fading";"fading";"fading";"fading";"fading"
"RS HER";"17";"21";"42.35";"22";"55";"15.9";"221.0";"<8.0-12.6>";273;"MAX(27)";"fading";"fading";"fading";"MIN(11)";"rising";"rising";"rising";"MAX(5)";"fading";"fading";"MIN(18)";"rising"
"RU OPH";"17";"32";"52.63";"9";"25";"24.8";"202.7";"<9.5-13.9>";62;"rising";"MAX(2)";"fading";"fading";"MIN(6)";"rising";"rising";"MAX(23)";"fading";"fading";"MIN(26)";"rising";"rising"
"RU SCO";"17";"42";"25.21";"-43";"45";"1.2";"371.4";"<8.9-13.9>";25;"rising";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(24)";"rising"
"SV SCO";"17";"48";"19.99";"-35";"42";"4.7";"252.6";"<10.6-14.6>";14;"rising";"rising";"rising";"MAX(7)";"fading";"fading";"fading";"MIN(10)";"rising";"rising";"rising";"MAX(15)";"fading"
"W PAV";"17";"50";"26.94";"-62";"24";"33";"279.0";"<9.5-15.0>";6;"MIN(5)";"rising";"rising";"rising";"MAX(9)";"fading";"fading";"fading";"fading";"MIN(10)";"rising";"rising";"rising"
"U ARA";"17";"53";"37.61";"-51";"41";"14.3";"218.8";"<6.3-11.5>";16;"fading";"fading";"MIN(26)";"rising";"rising";"rising";"MAX(6)";"fading";"fading";"fading";"MIN(3)";"rising";"rising"
"T DRA";"17";"56";"23.31";"58";"13";"6.2";"422.3";"<10.5-13.0>";112;"MAX(11)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(2)";"rising";"rising";"rising";"rising"
"RT OPH";"17";"56";"32.04";"11";"10";"10";"427.4";"<9.9-14.5>";87;"rising";"rising";"rising";"MAX(31)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(16)"
"V DRA";"17";"58";"14.52";"54";"52";"18";"277.3";"<10.3-14.3>";85;"rising";"MAX(16)";"fading";"fading";"fading";"fading";"MIN(15)";"rising";"rising";"rising";"MAX(21)";"fading";"fading"
"RY HER";"17";"59";"44.77";"19";"28";"53.6";"221.7";"<8.9-13.9>";85;"fading";"fading";"fading";"MIN(1)";"rising";"rising";"MAX(9)";"fading";"fading";"fading";"MIN(8)";"rising";"rising"
"W DRA";"18";"5";"34.66";"65";"57";"21.8";"283.2";"<10.2-15.6>";242;"MAX(2)";"fading";"fading";"fading";"fading";"MIN(13)";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"fading"
"X DRA";"18";"6";"52.22";"66";"9";"19.5";"257.0";"<11.2-15.8>";182;"fading";"fading";"MIN(17)";"rising";"rising";"rising";"MAX(12)";"fading";"fading";"fading";"fading";"MIN(1)";"rising"
"S OCT";"18";"8";"44.49";"-86";"47";"55.6";"257.5";"<7.9-13.9>";8;"fading";"MIN(25)";"rising";"rising";"rising";"MAX(7)";"fading";"fading";"fading";"fading";"MIN(9)";"rising";"rising"
"T HER";"18";"9";"6.2";"31";"1";"16.2";"164.2";"<8.3-13.1>";405;"fading";"MIN(2)";"rising";"MAX(23)";"fading";"fading";"MIN(16)";"rising";"rising";"MAX(3)";"fading";"MIN(27)";"rising"
"R PAV";"18";"12";"52.96";"-63";"36";"57.3";"231.9";"<8.0-13.8>";6;"fading";"fading";"MIN(13)";"rising";"rising";"MAX(19)";"fading";"fading";"fading";"fading";"MIN(2)";"rising";"rising"
"TV HER";"18";"14";"40.55";"31";"49";"9.5";"304.4";"<10.7-16.2>";83;"rising";"rising";"MAX(11)";"fading";"fading";"fading";"fading";"fading";"MIN(8)";"rising";"rising";"rising";"MAX(12)"
"W LYR";"18";"14";"55.87";"36";"40";"13.1";"195.9";"<7.9-11.9>";359;"rising";"MAX(26)";"fading";"fading";"MIN(30)";"rising";"rising";"rising";"MAX(10)";"fading";"fading";"MIN(12)";"rising"
"RY OPH";"18";"16";"36.94";"3";"41";"35.3";"149.7";"<8.6-13.2>";129;"fading";"fading";"MIN(5)";"rising";"MAX(26)";"fading";"fading";"MIN(5)";"rising";"MAX(22)";"fading";"fading";"MIN(1)"
"SV HER";"18";"26";"23.08";"25";"1";"33";"238.4";"<10.0-15.2>";87;"MAX(31)";"fading";"fading";"fading";"fading";"MIN(20)";"rising";"rising";"MAX(26)";"fading";"fading";"fading";"fading"
"RV SGR";"18";"27";"56.08";"-33";"19";"29.3";"316.3";"<8.5-13.6>";33;"rising";"MAX(9)";"fading";"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"rising";"MAX(22)";"fading"
"T SER";"18";"28";"48.73";"6";"17";"52.6";"340.2";"<10.1-14.5>";143;"fading";"MIN(24)";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(1)";"fading";"fading";"fading";"MIN(30)"
"SV DRA";"18";"33";"38.41";"49";"22";"19.8";"256.8";"<9.8-14.6>";162;"fading";"fading";"fading";"MIN(7)";"rising";"rising";"MAX(22)";"fading";"fading";"fading";"fading";"MIN(18)";"rising"
"RZ HER";"18";"36";"47.01";"26";"2";"57.3";"329.3";"<9.9-15.3>";70;"rising";"rising";"MAX(13)";"fading";"fading";"fading";"fading";"fading";"MIN(21)";"rising";"rising";"rising";"rising"
"X OPH";"18";"38";"21.13";"8";"50";"2.7";"327.9";"<6.8-8.4>";460;"fading";"fading";"fading";"fading";"MIN(23)";"rising";"rising";"rising";"rising";"rising";"MAX(10)";"fading";"fading"
"RY LYR";"18";"44";"52.1";"34";"40";"33.3";"322.9";"<10.3-14.4>";269;"MIN(9)";"rising";"rising";"rising";"rising";"MAX(1)";"fading";"fading";"fading";"fading";"MIN(28)";"rising";"rising"
"RW LYR";"18";"45";"10.14";"43";"38";"7.6";"503.6";"<12.4-17.1>";105;"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(4)";"rising";"rising";"rising"
"RX LYR";"18";"54";"10.01";"32";"49";"51.2";"246.9";"<12.0-16.9>";97;"rising";"rising";"MAX(19)";"fading";"fading";"fading";"fading";"MIN(11)";"rising";"rising";"MAX(24)";"fading";"fading"
"Z LYR";"18";"59";"36.79";"34";"57";"16.3";"293.6";"<10.1-14.7>";116;"fading";"fading";"MIN(10)";"rising";"rising";"rising";"rising";"MAX(4)";"fading";"fading";"fading";"fading";"MIN(1)"
"RT LYR";"19";"1";"14.89";"37";"31";"20.2";"252.6";"<10.2-14.9>";146;"MIN(18)";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"fading";"MIN(27)";"rising";"rising";"rising";"MAX(19)"
"ST SGR";"19";"1";"29.2";"-12";"45";"34.1";"390.5";"<8.3-15.7>";44;"rising";"rising";"rising";"rising";"rising";"MAX(3)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(12)"
"R AQL";"19";"6";"22.24";"8";"13";"48";"269.5";"<6.7-10.9>";507;"fading";"fading";"fading";"MIN(14)";"rising";"rising";"rising";"MAX(24)";"fading";"fading";"fading";"fading";"MIN(9)"
"V LYR";"19";"9";"4.54";"29";"39";"29.6";"373.5";"<11.3-16.3>";40;"fading";"fading";"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"rising";"MAX(26)";"fading";"fading"
"U DRA";"19";"10";"0.64";"67";"16";"36.5";"314.9";"<9.9-13.4>";136;"MIN(20)";"rising";"rising";"rising";"rising";"rising";"MAX(11)";"fading";"fading";"fading";"MIN(31)";"rising";"rising"
"RU LYR";"19";"12";"21.24";"41";"18";"13.5";"370.1";"<10.5-14.5>";169;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(9)";"rising";"rising";"rising";"rising";"MAX(24)";"fading"
"RS LYR";"19";"13";"1.32";"33";"24";"49.1";"305.0";"<10.3-14.8>";130;"rising";"rising";"rising";"rising";"MAX(12)";"fading";"fading";"fading";"fading";"MIN(8)";"rising";"rising";"rising"
"S LYR";"19";"13";"11.8";"26";"0";"28.1";"438.3";"<11.7-15.9>";141;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(5)";"rising";"rising";"rising";"rising";"MAX(19)";"fading"
"RX SGR";"19";"14";"32.64";"-18";"48";"42.9";"333.0";"<9.4-14.0>";87;"fading";"fading";"fading";"MIN(12)";"rising";"rising";"rising";"rising";"rising";"MAX(4)";"fading";"fading";"fading"
"W AQL";"19";"15";"23.38";"-7";"2";"50.3";"490.3";"<10.5-14.8>";51;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(4)";"rising";"rising";"rising";"rising";"rising";"MAX(1)"
"T SGR";"19";"16";"14.44";"-16";"58";"17.1";"390.2";"<8.5-11.8>";74;"MIN(11)";"rising";"rising";"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading";"fading";"fading";"fading"
"R SGR";"19";"16";"41.8";"-19";"18";"27.6";"271.7";"<7.1-12.4>";68;"rising";"MAX(2)";"fading";"fading";"fading";"MIN(20)";"rising";"rising";"rising";"rising";"MAX(1)";"fading";"fading"
"TY SGR";"19";"17";"42.82";"-23";"56";"24.6";"321.6";"<9.1-14.1>";39;"rising";"rising";"rising";"MAX(19)";"fading";"fading";"fading";"fading";"fading";"MIN(6)";"rising";"rising";"rising"
"S SGR";"19";"19";"25.93";"-19";"1";"24.7";"231.0";"<10.5-14.6>";54;"MAX(3)";"fading";"fading";"fading";"MIN(24)";"rising";"rising";"MAX(22)";"fading";"fading";"fading";"fading";"MIN(11)"
"Z SGR";"19";"19";"43.21";"-20";"55";"34.7";"451.6";"<9.3-14.7>";46;"MAX(11)";"fading";"fading";"fading";"fading";"MIN(23)";"rising";"rising";"MAX(10)";"MIN(20)";"rising";"rising";"rising"
"SW SGR";"19";"19";"52.45";"-31";"42";"53.8";"286.6";"<11.6-14.7>";17;"rising";"rising";"rising";"MAX(31)";"fading";"fading";"fading";"fading";"MIN(25)";"rising";"rising";"rising";"rising"
"U LYR";"19";"20";"9.15";"37";"52";"36";"452.3";"<9.6-11.9>";185;"rising";"rising";"rising";"rising";"MAX(25)";"fading";"fading";"fading";"fading";"fading";"MIN(17)";"rising";"rising"
"TY CYG";"19";"33";"51.89";"28";"19";"43.7";"348.1";"<9.4-14.4>";185;"fading";"fading";"fading";"MIN(23)";"rising";"rising";"rising";"rising";"rising";"rising";"MAX(11)";"fading";"fading"
"R CYG";"19";"36";"49.38";"50";"11";"59.4";"427.3";"<8.1-14.9>";367;"fading";"fading";"fading";"fading";"fading";"fading";"MIN(18)";"rising";"rising";"rising";"rising";"MAX(27)";"fading"
